job_id,title,description,skills_required
1,ML Developer,Looking for a ML Developer,"Python, Machine Learning, Django, NLP"
2,Backend Developer,Looking for a Backend Developer,"Machine Learning, Data Science, JavaScript"
3,Data Scientist,Looking for a Data Scientist,"NLP, Deep Learning"
4,ML Developer,Looking for a ML Developer,"Data Science, Machine Learning, Flask, React, Django"
5,NLP Engineer,Looking for a NLP Engineer,"Python, Deep Learning, Machine Learning, Flask"
6,Data Scientist,Looking for a Data Scientist,"Django, Python, Machine Learning, NLP, MySQL"
7,AI Engineer,Looking for a AI Engineer,"MySQL, Data Science, Machine Learning, JavaScript, NLP"
8,Backend Developer,Looking for a Backend Developer,"MySQL, Flask"
9,NLP Engineer,Looking for a NLP Engineer,"Django, MySQL"
10,Database Admin,Looking for a Database Admin,"NLP, Machine Learning"
11,ML Developer,Looking for a ML Developer,"MySQL, Django, Machine Learning"
12,NLP Engineer,Looking for a NLP Engineer,"Deep Learning, MySQL, JavaScript, NLP, Flask"
13,Database Admin,Looking for a Database Admin,"Flask, Data Science"
14,Full Stack Developer,Looking for a Full Stack Developer,"Machine Learning, React, Flask, JavaScript"
15,AI Engineer,Looking for a AI Engineer,"Python, Machine Learning, Data Science, Deep Learning"
16,Software Engineer,Looking for a Software Engineer,"Python, NLP, Machine Learning, Django, Flask"
17,Software Engineer,Looking for a Software Engineer,"Deep Learning, Flask"
18,AI Engineer,Looking for a AI Engineer,"Flask, JavaScript, Deep Learning"
19,NLP Engineer,Looking for a NLP Engineer,"Machine Learning, Data Science"
20,NLP Engineer,Looking for a NLP Engineer,"NLP, JavaScript"
21,Data Scientist,Looking for a Data Scientist,"NLP, MySQL, Deep Learning"
22,Backend Developer,Looking for a Backend Developer,"Deep Learning, React, JavaScript, Machine Learning"
23,ML Developer,Looking for a ML Developer,"Deep Learning, Python, NLP, JavaScript"
24,NLP Engineer,Looking for a NLP Engineer,"Deep Learning, Django, JavaScript, Flask"
25,Software Engineer,Looking for a Software Engineer,"Data Science, Django"
26,Database Admin,Looking for a Database Admin,"JavaScript, Deep Learning, Flask, Machine Learning"
27,Backend Developer,Looking for a Backend Developer,"JavaScript, Data Science, MySQL, Python, Flask"
28,ML Developer,Looking for a ML Developer,"Flask, Python, Data Science"
29,Data Scientist,Looking for a Data Scientist,"NLP, Flask"
30,Full Stack Developer,Looking for a Full Stack Developer,"Python, JavaScript"
31,Backend Developer,Looking for a Backend Developer,"React, JavaScript, NLP, Machine Learning"
32,Database Admin,Looking for a Database Admin,"MySQL, React"
33,Backend Developer,Looking for a Backend Developer,"MySQL, Python"
34,Database Admin,Looking for a Database Admin,"JavaScript, Machine Learning, Flask"
35,Full Stack Developer,Looking for a Full Stack Developer,"Python, Machine Learning, Deep Learning"
